                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.70199,                0.39834,                0.95925,                0.95444,                0.88955,                0.94701,                0.65419,                 1.0095,                0.50857,                 1.1365,             0.00090785,             0.00090785,             0.00090785
                    140,                0.68031,                0.38962,                 0.9456,                0.95228,                0.87989,                0.94544,                0.65465,                 1.0335,                0.48888,                 1.1572,             0.00090235,             0.00090235,             0.00090235
                    141,                0.69958,                0.38944,                0.95025,                0.93455,                0.88185,                0.93877,                0.65035,                 1.0314,                0.49552,                 1.1497,             0.00089685,             0.00089685,             0.00089685
                    142,                0.68638,                0.39537,                0.94535,                0.92977,                0.88934,                0.93844,                0.62973,                 1.0932,                0.51205,                 1.1738,             0.00089134,             0.00089134,             0.00089134
                    143,                0.69703,                0.38956,                0.94532,                0.92555,                0.89754,                0.93918,                0.63361,                 1.0796,                0.51035,                 1.1747,             0.00088584,             0.00088584,             0.00088584
                    144,                0.70523,                0.39586,                0.94942,                0.95334,                0.88547,                0.94606,                0.64453,                 1.0582,                0.48771,                 1.1743,             0.00088034,             0.00088034,             0.00088034
                    145,                0.69879,                0.39176,                0.94857,                0.94615,                0.88458,                0.93954,                0.64204,                 1.0546,                0.48607,                 1.1681,             0.00087484,             0.00087484,             0.00087484
                    146,                0.67328,                0.38671,                 0.9494,                0.94364,                0.88241,                0.93953,                0.64195,                  1.032,                0.47816,                 1.1441,             0.00086934,             0.00086934,             0.00086934
                    147,                0.68839,                0.39166,                0.95124,                0.93206,                0.89235,                0.94084,                0.64267,                 1.0628,                0.48134,                 1.1607,             0.00086384,             0.00086384,             0.00086384
                    148,                0.70375,                0.39868,                0.94626,                0.94021,                0.90338,                0.94604,                0.63949,                 1.0914,                0.49064,                 1.1888,             0.00085834,             0.00085834,             0.00085834
                    149,                0.69536,                0.39993,                0.94989,                0.94474,                0.90257,                0.94509,                0.64267,                 1.0805,                0.48399,                  1.177,             0.00085284,             0.00085284,             0.00085284
